,urlDrugName,rating,effectiveness,sideEffects,benefitsReview
36,nortriptyline,3,Moderately Effective,Severe Side Effects,I have A-typical migraines which gives me weird sensation in my ears such as roaring and the sense that they are vibrating.  I also do have headacheds that seem to come from ears and the back of my neck.  It help me feel better and started to decrease my symptoms but side effects were worse than original symptoms.  It helped me to ignore my symptoms and helped me to get through the day.
37,imitrex,10,Highly Effective,Mild Side Effects,migraine headache would stop
38,ativan,9,Considerably Effective,No Side Effects,"Assists with getting to sleep and due to longer half life than other anxiolytics(ie Alprazolam)anxiety is less upon waking. Whilst Alprazolam is extrememly effective for immediate reduction in arousal, I find Lorazepam more effective for overall lowering of anxiety.It has been especially helpful to start the day with little or no anxiety rather than with a high arousal level immediately needing management or medication."
39,doxycycline,10,Highly Effective,No Side Effects,"I had   persistent periodontal problems, both stressful and painful.  Every dentist I saw  told me I was going to lose my teeth.  This drug  cleared up the condition.  It protected me against inflammation for the entire period of time that I took it.  I continued taking the drug much longer than is usually recommended because it was so effective. The effectiveness did not seem to diminish."
40,prozac,7,Considerably Effective,Mild Side Effects,"relieves depression, helps other things such as sleep, dieting, exercise, relationships, responses to stimulous.  The cost is lower than other antidepressants which can be a help to those on a budget."
41,topamax,6,Highly Effective,Mild Side Effects,"To stop with the migraines, seizures and pain from the fibromyalgia,also have neuropathy in hands and feet from diabetes"
42,levitra,10,Highly Effective,No Side Effects,The stuff works like a charm--fast and effective.
43,oxycodone,7,Considerably Effective,Mild Side Effects,"The drug was pretty good for pain. They had me on morphine, which was horrible. The pain was preferable to the crazy dreams and paranoia I had. They then tried oxycontin, which was the best pain drug they gave me, but too addictive... so they moved me to vicodin products, which worked pretty well, with surprisingly few side effects."
44,lamictal,8,Highly Effective,No Side Effects,Effective at controlling seizures without dizziness
45,oxycontin,7,Considerably Effective,Mild Side Effects,Able to tolerate the pain
46,vicodin,8,Considerably Effective,Mild Side Effects,very effective pain killer
47,accutane,9,Highly Effective,Moderate Side Effects,"Eventually Cleared my moderate acne. Had recieved antibiotics etc previosly which reduced it from severe to moderate, but then accutane completely cleared my skin after 5 months"
48,zocor,10,Highly Effective,Mild Side Effects,"Brought down my overall cholestorol reading from 218 to 150, LDL from 135 to 90 and triglycerides from 180 to 140 within 3 months time."
49,aldara,10,Considerably Effective,No Side Effects,"The cream made the basal cell carcinoma and actinic keratoses react, scab up, and heal to nice smooth skin after about two weeks after treatment with the cream ended."
50,ortho-tri-cyclen,10,Highly Effective,No Side Effects,"No undesired pregnancies, lighter period"
51,minocycline,6,Marginally Effective,No Side Effects,"I took Minocycline hoping that it would clear up my acne. I have been taking Tetracycline for over 2 years without no result, frustrated, my doctor prescribed Minocyline. After 1 year, I was still having break out just not as bad."
52,estrace,10,Highly Effective,Mild Side Effects,"no menopose benifits are loss off sytoms of menopose. improved mood leval. I have felt more energectic aand as stated a general mood elevation. I have started working out , less irratable and overall calmer. The hormone replacement has improved my lifestyle and relationships to others. I am know longer quick tempered or irritable."
53,meridia,10,Highly Effective,Mild Side Effects,Lost over 30 pounds and still going!
54,sotret,8,Highly Effective,Moderate Side Effects,"acne cleared totally,skin became even."
55,prevacid,10,Highly Effective,No Side Effects,After 2 days of taking the medication my stomach pain subsided.  The burning i also began to go away.  it took a full week for everything to return to normal for mw.
56,cosopt,9,Considerably Effective,Mild Side Effects,The pressure in my eyes decreased with use over a period of four months.
57,renova,6,Moderately Effective,Moderate Side Effects,"Skin in certain areas (e.g. forehead, cheeks) sun damage became less noticeable. Fine lines have slightly improved. However fine lines on the lower eyelids have become worse. It was therefore, not used on fine lines on the lower eyelids the entire 1 year. I have used it approximately 4 months out of the 1 year in this area. It made it crease up and look wrinkled"
58,depakote,4,Highly Effective,Severe Side Effects,The med. controlled my seizure disorder.
59,tekturna,10,Highly Effective,Mild Side Effects,"Very well managed blood pressure within normal, healthy range.  I had an allergic reaction to a more common blood pressure medication, Lisinopril (which is a combination of a thiazide diuretic and an ACE inhibitor).  The newer Tekturna has worked perfectly for me with only the slightest dizziness when I rose too quickly early on, but no side effects at all after the first few weeks."
60,renova,10,Highly Effective,Mild Side Effects,"smoother skin,less lines on the face and neck area,collagen in skin is firmer and supple"
61,zegerid,1,Moderately Effective,Severe Side Effects,The drug reduced the frequency of acid reflux events and the associated pain
62,sular,9,Moderately Effective,No Side Effects,"Lowered blood pressure.  This was the last prescribed medication for out of control high blood pressure.  Apparently, it takes all three of the medications
to work together. With all of them, my blood pressure is within normal guidelines (or very close), but without any one of them, there is an immediate rise"
63,crestor,10,Highly Effective,No Side Effects,"After 60 days on Crestor, 5 mg. per day, in combination with changes to my diet, my LDL (bad) cholesterol fell from 180 mg/dL (high risk) to 95 mg/dL (optimal), a drop of nearly half.  My triglyceride levels were reduced as well."
64,metformin,9,Highly Effective,No Side Effects,"At the recommendation of the Life Extension foundation, I was taking 1850 mg per day of metformin prophilatically -- as an anti-aging medicine. Gene assay testing by Biomol resveals that metformin surpresses the Sir1 gene, acting as a calorie reduction memetic. Calorie Reduction is the only currently proven way to extend life span, and the hope is that metformin will mimic this. Resveratro ( herb ) also reputably does this."
65,celexa,6,Considerably Effective,Moderate Side Effects,"It made me feel like my old self again, i was able to go to work and actually get things done and the medication took care of the edgy feeling i had and alot of my tendency to fly off the handle.  The medicine seemed to work great except for a few side effects."
66,lexapro,6,Moderately Effective,Mild Side Effects,"Before I started on the drug Lexapro, I felt lethargic and didn't want to get out of bed each morning. I hated getting up and facing the day. I would sit and watch the time pass by. Finally, I went to my Dr. for a checkup and he diagnosed me as being depressed. He put me on Wellbutrin and Lexapro 10 mg. I was instructed to take the pill 2 times per day everyday. For the first week I felt disconnected from myself but by the 2nd week I started to feel as if each morning was something to look forward to. I believe that Lexapro was a great addition to my life during my troubled times."
67,naproxen,6,Moderately Effective,Mild Side Effects,helped aleviate whip lash symptoms
68,levoxyl,8,Considerably Effective,Mild Side Effects,"weight loss, more energy"
69,synthroid,9,Highly Effective,No Side Effects,"i have mild hypothyroidism, so i wasn't necessarily aware of what having an underfunctioning was doing to my body.  still, i was able to detect changes (for the better) after taking synthroid for a few months.  the primary benefit i aw was HIGHLY HIGHLY improved concentration, which has made school/work such a pleasure.  i think my metabloism also improved slightly."
70,spironolactone,6,Considerably Effective,Moderate Side Effects,"it decreased my acne but never acne free,less oily skin,"
71,minocycline,10,Highly Effective,No Side Effects,face cleared up conciderably. It took about 2 months for the drug to become conciderably effective though.
72,oracea,7,Considerably Effective,Moderate Side Effects,"I liked this drug very much, because the stronger doses of antibiotics gave me horrible yeast infections. However, this one didn't quite so much. It still kept my acne at bay, and worked."
73,paxil,8,Considerably Effective,Mild Side Effects,Definitely lowered anxiety.
74,zantac,10,Highly Effective,No Side Effects,"Reduce a lot the heartburn feeling, and after a week treatment no more heartburn where visible. Every other meal i was taken produced a lot of acid juices in my stomach, after that treatment this never happen."
75,fosamax,8,Considerably Effective,No Side Effects,"The drug has slowed down the process of osteoporosis in my hips.  I feel much better, with less pain than before.  I was very pleased with my checkup when I went to my doctor.  I feel the combination of the Fosamx and the Caltrate Plus
will continue to improve my condition and make my bones stronger."
76,prevacid,10,Highly Effective,No Side Effects,"Feels like it stops nearly all acid production, heartburn is gone.  Due to cardia weakness stomach contents can still travel up esophagus but no burning sensation is felt.  Regardless there is still some mild irritation in my esophagus."
77,tirosint,5,Marginally Effective,No Side Effects,cold not discern because there was no clinical symptom other than tsh leel was low.the lab test result indicate improvement in tsh level but the doctor did not increase the dosage of the drug.
78,cymbalta,2,Considerably Effective,Severe Side Effects,"My pain and anxiety were considerably lower. I felt like any situation was controllable and I was much more effective at my daily tasks.  The panic attacks, chest pains, and severe worry were almost completely gone. An added benefit was that muscle pain that I always seemed to have was also gone. I rarely had to take any pain meds. It seemed like a miracle."
79,ambien-cr,8,Considerably Effective,Mild Side Effects,"I did go to sleep more easily. I'm not sure how effective the time release is, because I often would wake up 4-5 hours later. Sometimes I didn't take it to sleep, but upon waking at 3pm, would take one to go back to sleep. They say to not take unless you have 8 hours to sleep, but this is not the case with me. The cutoff time is 4-5 hours."
80,angeliq,7,Considerably Effective,No Side Effects,Angeliq did eliminate the night sweats and kept the hot flashes to a mininum. I have had severe vaginal dryness (even tearing) and a host of infections (yeast & bacterial). I remain a bit irritated and I have NO sex drive.
81,imitrex,10,Highly Effective,No Side Effects,"I was able to completely stop a migraine from happening once I felt one starting.  This has been extremely beneficial to me.  I have gotten my life back.  I would have 1-2 migraines a week which would put me in bed for 2 days.  I would take pain killers, which only knocked me out, doing nothing to alleviate the pain.  I was missing a large part of my life, being in bed.  Also I never knew when I would have to cancel plans or stay home from work due to a migraine.  I felt very unreliable, which is not me.  I am a very responsible person."
82,prempro,10,Highly Effective,No Side Effects,"Migraine problem: I now only have rare occurance of migraines, less than once a year.  Before Prepro treatment I had a migraines almost continuously, and took Frova at least twice a week. Potential benefits is prevention or delay of osteoporosis, since my mother had severe osteoporsis."
83,lexapro,5,Moderately Effective,Moderate Side Effects,"I sought treatment for two problems in my life: my temper with my daughter and my lack of motivation.  This drug really helped me to control my temper.  In fact, the temper became nonexistent.  I used to yell a lot and stopped completely within two weeks of being on this medication.  However, this was the only benefit I experienced."
84,latisse,10,Considerably Effective,Mild Side Effects,"For the first time in my life, I had enough eyelashes to apply mascara to.  I had tried eyelash extensions previously but they only worsened the problem by breaking off or pulling out what skimpy lashes I did have.  After several months of Latisse I have eyelashes and even though I apply it only to upper lashes it has made lower lashes grow too."
85,wellbutrin-xl,8,Considerably Effective,Mild Side Effects,"The Wellbutrin with 20 mg of Prozac daily as an adjunct alleviated most symptoms of depression.  Better sleep as a result, and more energy throughout the day."
86,biaxin,8,Considerably Effective,Mild Side Effects,"Along with the tamiflu, pretty much cleared up any problems I had except for my cough. It was not as bad as a cough, but was still present. It took about 2 days for the medication to actually work but it does a good job."
87,zantac,10,Highly Effective,No Side Effects,"nearly instant pain relief , extremely efficace"
88,spironolactone,6,Moderately Effective,Mild Side Effects,Hair loss. Helps hair follicles become less sensitive to protestosterone.
89,lipitor,3,Marginally Effective,No Side Effects,My cholesterol was lowered by about 15 points. I did not seem to do anything else nor was it supposed to.
90,omnicef,3,Highly Effective,Extremely Severe Side Effects,The treatment cured the sore throat for which it was perscribed.
91,tazorac,6,Moderately Effective,Moderate Side Effects,"the treatment benefits for the cream Tazorac were improved skin tone, appearance of reduced wrinkles on forehead, undereye area, upper lip and nose. The skin felt softer and pimples were not prominent."
92,alendronate,10,Highly Effective,Mild Side Effects,Increased bone density by 11% first year.
93,vyvanse,7,Highly Effective,Moderate Side Effects,Very good euphoria. More focused in school. Had a very very good feeling in torso area. I forget to eat sometimes and afterwards stomache hurts very  very bad. You do not realize that your hungry.
94,claripel-cream,8,Considerably Effective,Moderate Side Effects,"It's been only one week and I am seriously amazed at the results. some small spots are invisible and i can see the larger ones fading, my skin already looks more even and balanced and less irritated...after only one week!!! I also love the matte finish it leaves, so you are looking greasy and oily all day. It's hard to believe but I am getting really excited for the results"
95,valtrex,9,Considerably Effective,No Side Effects,"I took this medication, Valtrex, upon first experiencing the sensation of tingling and itching symptoms associated with the onset of the beginning of a cold sore/fever blisters (herpes-simplex) outbreak on my face which I had experienced many times before - usually once a year.
The next day after taking valtrex as prescribed, redness of the area affected on my face did develop and a blister did appear to be forming, but the affected area had ceased to itch. 
By the second day, there had been no further development of redness or additional blistering as there would have been in previous times before taking this medication.
On the third day, the redness and initial sign of blister formation had diminshed even further.
By the fifth day after taking this medication, there were no longer any signs or symptoms of what had started out to be, as I had experienced in my previous cold sore outbreaks, a 10 to 12 day spell of uncomfortable and unsightly fever blisters. 
This medication made a real and positive difference for me in the development, disconfort and duration of the symptoms of a cold sore/fever blisters (herpes-simplex) outbreak."
96,femring,10,Highly Effective,No Side Effects,"Do not experience hot flashes, night sweats, mood swings or insomnia due to menopause when using the Femring."
97,neurontin,1,Ineffective,Moderate Side Effects,"Well I just wanted to comment or get some incite on this medication. I was just proscribed this medication yesterday took first one before bed as doctor said and woke up this morning feeling like i had drank a case of beer i stumbled getting up out of bed then i felt like i was dying of thirst was just wondering how normal this was? Oh and i was very sleepy and unable to wake up till nearly noon i started to sober up. I have a 3yr old son that i stay home with so i need to be able to function. when i had spoke to my doctor about the problems i was having i told him that i did not want to be on anything strong i had previously been put on Vicodin, oxy-codone and flexeral i hated it i could not take care of my son i could not function im just trying to find a solution for my pain without being messed up.! See back in October of 2009 i fell backwards into a dresser corner while putting my sons clothes up in welkin closet had two possible fractures and two slipped disks was in a neck brace from oct-feb so please let me know if you have any idea what i can do my insurance will not cover physical therapy unfortunately ....."
98,soma,5,Highly Effective,Moderate Side Effects,Minimized pain immediatley and made back injury seem non-existant
99,lipitor,5,Moderately Effective,Moderate Side Effects,"My overall cholesterol reduced to just over 4, but not LDL which still remained high within that total. This in my opinion is due to my thyroid condition."
100,tylenol,3,Moderately Effective,Mild Side Effects,Little if any relief from headache.
101,ultram,2,Moderately Effective,Mild Side Effects,"I found for me it was great for pain relief. Also, unlike some of the anti-inflammatory drugs I had taken in the past, I was not drowsy or sluggish during the day and I felt as if I could function normally."
102,chantix,5,Considerably Effective,Moderate Side Effects,"Chantix did effectively reduce the urge to have a cigarette.  Taken twice per day was most effective, but side effects precluded that dosage for this patient(see below). Chantix was taken in the morning, and patient rarely, if ever, even thought of wanting or 'needing' a cigarette during the day.  In the evening, however, (when the second pill was due to be taken, but wasn't), and especially if patient had an alcoholic beverage, the urge to smoke returned  with a vengence, though a few puffs were all it took to kill the urge.  When patient stopped taking Chantix (after a year of use), the urge for nicotine returned."
103,ziana,9,Considerably Effective,Mild Side Effects,"Easy to apply, combination of retinol and antibiotic.  Treated acne and an anti-aging treatment too.  The gel is odorless and goes on easily.  It is also non-greasy which is important if you have combination or oily skin."
104,vivelle-dot,5,Considerably Effective,Severe Side Effects,The benefits are that it does take away night sweats and hot flashes.
105,effexor-xr,7,Considerably Effective,Mild Side Effects,"After trying Celexa for several months this drug finally made a difference with my anxiety and obsessive compulsive personality disorder. I noticed considerable change after using for 3-4 weeks. I am much more tolerant of things being ""out of control"" and have stopped some of my ""patterns""."
106,ultram-er,1,Ineffective,No Side Effects,"I was not able to ascertain any benefits from being treated with this medication.  Its purpose was pain relief, and I did not experience any alleviation of my pain."
107,lotrel,7,Considerably Effective,Severe Side Effects,I have slightly high blood pressure on the diastolic side. Lotrel did a good job at maintaining good levels without increasing my pulse which I experienced with other BP meds.
108,viagra,4,Ineffective,Moderate Side Effects,Viagra did help me in acheiving an erection after prostrate surgery. Other methods that were offered were not as attractive at the 3 times daily dosage of Viagra.
109,seasonale,9,Highly Effective,Mild Side Effects,"While taking this method of birth control, my period only came once every three months. It was much lighter than before and only lasted 3 days instead of 6, which was normal before. I didn't experience any bloating. It's a very cost-effective method compared to three-month supply of normal 28 day cycle pills."
110,wellbutrin-sr,5,Moderately Effective,Moderate Side Effects,"decreased appetite, help to stop abusing alcohol"
111,lipitor,1,Ineffective,Severe Side Effects,I didn't take the product long enough to evaluate the benefits. I quit because of side effects.
112,allegra,8,Considerably Effective,No Side Effects,"significant, but not complete, relief from symptoms (sneezing, itchy eyes, cough, hives) while exposed to allergens - cats, certain plants. works best as preventative, but also works fine for relief from symptoms."
113,ambien-cr,7,Highly Effective,Moderate Side Effects,The benefits from the ambien CR were phenominal when trying to fall asleep. It worked very well.
114,accutane,8,Highly Effective,Severe Side Effects,Finally clear skin and less oil!  Prior to accutane I HAD to wash my hair daily it was so oily  but now I easily an go a day or two.   My face and back were perfectly clear.
115,nasonex,10,Highly Effective,No Side Effects,"Able to breath at night, less sneezing. I woke up with less nasal stufiness and felt clear headed. I also appreciated the moisturizing glycerin in Nasonex. I have a extremely dry nasal mucosa so there was definitely a benefit to that."
116,fortaz,8,Highly Effective,Moderate Side Effects,"got rid of the uti, however, it took longer than d-mannose a non-prescription otc natural sugar which also had no side-effects"
117,singulair,1,Ineffective,Severe Side Effects,"There were no benefits, only bad side effects in that the drug significantly worsened my ability to breath."
118,xyrem,9,Highly Effective,Moderate Side Effects,"While taking Xyrem, I slept exceptionally well at night, woke up rested, and strangely, within months of starting the medication, lost fifteen or more pounds."
119,provigil,7,Moderately Effective,Mild Side Effects,"When I started first taking it it was great. I would get up in the am no brain fog, and could work the whole day not being tired. By night time though I was exhausted. After a month or so I still get up early but by afternoon I am so tired I usually try to take a nap or just keep going and eventually it will get better. I have not tried taking another in the afternoon. I have tried to up the dose in the am with no difference."
120,xanax,10,Highly Effective,No Side Effects,"The medicine keeps me calm under all circumstances, and helps me to sleep at night. I used to have panic attacks at times before I began using this medicine. Now the panic attacks are few and far between. Although I do not like to drive while taking the medicine, if I must I can with no problems. In social situations I am much more myself and can relax and have fun. I have had 3 mini-strokes. Since I began treatment with Xanax I have not had a single episode."
121,lexapro,9,Highly Effective,Mild Side Effects,"Before Lexapro I was so depressed I could not function. I forced myself to work, and would come home exhausted. I had suicidal ideation and severe anxiety. I had ""bouts"" of depression before, but was never treated. My separation and death of my Mother and loss of my job in one years time pushed me past what I could get myself out of. I was irritable, unsociable, had no desire to eat (lost 50 lbs that I could stand to lose in 6 months), cried all the time. I started Lexapro 3 months ago, almost 4. I began at 10 mg and it was upped to 20 mg. I feel like I am starting to have my life back. I laugh again (genuinely). I can get up for work, I can socialize. I still have days where I feel like crying and am very scared.. but it passes quickly. I have almost regained my general sense of optimism again. (I was always happy go lucky). I have NO ideation anymore.Lexapro is giving me my life back. It is like someone cleaned a really dirty window. I can see things more clearly now and do not ruminate as much as I did or have guilt feelings that are inappropriate. It saved my life."
122,vicodin,7,Considerably Effective,Mild Side Effects,There was a significant reduction in mouth pain. I was able to relax following periodontal surgey and not worry about family obligations and responsibilities.
123,zoloft,6,Moderately Effective,No Side Effects,"Moderate lifting of depressive episode, made it so I could function better in everyday life."
124,differin,9,Highly Effective,Mild Side Effects,"The patient saw effective acne control within 4 weeks.  She still had occasional acne lesions but saw clearing of most of the comedones.  Because there were few new acne lesions, the hyperpigmentation she got along with the acne was not happening, and the hydroquinone helped to clear the hyperpigmentation she already had.  At four weeks, her skin tone was even."
125,zyban,9,Highly Effective,Severe Side Effects,"I stopped smoking after one week of starting the treatment. I never picked up another cigarette. The cravings for the sensation of smoking, as well as the craving for nicotine were short and sharp, and lessened within a short period of time. I was able to sit with another smoker and not smoke ( or want to smoke) within one and a half weeks of stopping. Incidently I lost 4 - 5 Kgs within 4 weeks of taking the drug."
126,anafranil,4,Highly Effective,Moderate Side Effects,"Over time, this drug caused a massive reduction in my OCD hand washing rituals. I also no longer had to avoid public places for fear of germs.  Furthermore, clomipramine caused an immediate decrease in day to day anxiety and worry."
127,nuvaring,10,Highly Effective,Mild Side Effects,"THE NUVARING HAS PROVEN TO BE VERY EFFECTIVE FOR ME. I HAVE HAD A LOT OF PROBLEMS WITH BIRTH CONTROL THROUGHOUT MY LIFE. HAVING TRIED MANY IF NOT ALL POSSIBLE  BIRTH CONTROL TREATMENTS, I BELIEVE THIS IS THE ONE THAT WORKS THE BEST FOR ME. IT IS PRACTICAL AND VERY FEW SIDE EFFECTS WHEN COMPARED TO THE ORAL CONTRACEPTIVES, IUDs OR  INJECTIONS."
128,motrin,8,Considerably Effective,Mild Side Effects,"The benefits are that the medication is very effective in treating menstrual cramping. Three times daily dosage is also quite convenient. I have been taking this medication for over 10 years and I don't see any long term side effects associated with it. Another benefit is that the medication is very useful in preventing menstrual cramp. If it is taken BEFORE menstruation, I won't experience any cramp at all."
129,effexor,8,Considerably Effective,Moderate Side Effects,"I would say that in general, I feel more happy since im taking Effexor. I am more patient and less agressive. I was really irritable with a constatly ''under pressure'' feeling before. Now i feel a bit less concentrate maybe but way more relax."
130,serzone,8,Highly Effective,No Side Effects,"Had generalized anxiety daily prior to treatment, and panic attacks that impaired ability to function normally and quality of life in general. Medication did not completely eliminate feelings of anxiety, but did a great job of reducing them. Taking the medication Serzone, made it possible to rely on the medication xanax less and less, to the point only had to take it seldom as needed."
131,naprosyn,8,Considerably Effective,No Side Effects,"enables me to get on with my life and be mobile. without it my back and neck become ""stiff"" so I also combine taking the drug with daily exercise to keep myself as fit as is possible. my condition was inherited from my father."
132,flomax,8,Considerably Effective,Moderate Side Effects,"As near as we can tell, this drug (which is intended for men with enlarged prostates) relaxed ureter muscles, relieving the sensation of kidney stone pain, and also relaxed bladder muscles that had caused painful urination."
133,percocet,7,Considerably Effective,Moderate Side Effects,"reduction of pain, pain reduction was necessary in order to be able to withstand the pain of aggressive physical therapy, i reduced the frequency of use after the first 3 days to avoid secondary complications such as intestinal damage, constipation, etc."
134,propecia,8,Moderately Effective,No Side Effects,preventing further hair loss
